time,id,username,text
2021-11-19 02:17:55+00:00,1461519072990953476,Sun Go Kong,"b'@VIVAcoid Jgn cm data qta dnk yg bocor, awesome!'"
2021-11-19 01:41:17+00:00,1461509852866363394,CISSReC,"b'Waduh, Ribuan Data Anggota Polisi Bocor di Internet https://t.co/6l9pqvlut5'"
2021-11-19 01:25:25+00:00,1461505863324106753,pereda demam,b'Data alo dokter bocor ampe segitunya kah? Perasaan ada aja yg telfon. Ga save bgt. Untung ga pake lg'
2021-11-19 01:19:41+00:00,1461504420407963649,Kim Jeong,b'@txtdrprogramer Wedew data warga negara bocor aja kaga turun tangan tuh'
2021-11-19 01:01:04+00:00,1461499734087114759,Ryan Descreate,"b'Gawat, Ribuan Data Anggota Polisi Bocor di\xc2\xa0Internet!!! https://t.co/Ww3YcefDU9'"
2021-11-18 23:35:49+00:00,1461478280809177092,galamedianews.com,"b'Gawat! Polri Diserang, Data Bocor dan Dibagikan Secara Gratis https://t.co/uxT4xTihny'"
2021-11-18 23:18:03+00:00,1461473807470759937,Nico Dwi Kuswanto,"b'gak tau harus seneng apa sedih, data polri yg bocor ternyata ga ada nama bapak &amp; sepupu'"
2021-11-18 22:36:50+00:00,1461463437058347013,Learner,"b'Wew ini data polri bocor lagi, dihack lagi nih'"
2021-11-18 17:57:03+00:00,1461393027642056705,5 News,"b'Hacker Asal Brasil Klaim Berhasil Bobol Database Polri, Ribuan Data Pribadi Personel\xc2\xa0Bocor https://t.co/micJIknlzP'"
2021-11-18 17:52:55+00:00,1461391987068702721,Sobat Kojek,"b'Wehhhh ada data paypal bocor di salah satu forum, yang bahayanya enggak cuma data paypal doang. Lengkap capture login yang lainnya juga. \xf0\x9f\x98\x9f'"
2021-11-18 15:31:32+00:00,1461356406649409557,Jabodetabek.id,"b'Data Pribadi Anggota Polri Bocor ke Twitter, Diduga Kena Hack https://t.co/xh02yCCOT6'"
2021-11-18 14:49:07+00:00,1461345732183560198,VIVAcoid,"b'3 Server Polri Dibobol Hacker Asal Brasil, Data Anggota Polri Bocor https://t.co/SVbEVwvs98 https://t.co/4NI0sPDuBa'"
2021-11-18 14:17:20+00:00,1461337733255688197,Dessy Lorenza,"b'Ya biasa saja sih, keamanan siber buatan manusia wajar bisa bocor... Data keamanan CIA dan FBI saja bisa bocor, apalagi Polri...Justru yg kaget itu, biasanya gak tau apa2 soal siber, alias kudet...\xf0\x9f\x98\x82 @son1x666 https://t.co/GYJF9ot78a'"
2021-11-18 13:57:01+00:00,1461332619459661833,ＭＥＭＥ,"b'Tapi aku ga pernah spill identitas pribadi orang yg ga aku suka. Itu bikin masalah baru. Ga sopan. Se-gak-sukanya sama orang ga gitu caranya. Itu merusak privasi orang, bahaya bgt data pribadi sampe bocor ke publik. Tolong jangan diulang lagi \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'"
2021-11-18 13:51:19+00:00,1461331187369234439,radaraktualdotcom,"b'3 Server Database Polri Jebol Diretas, Semua Data Polisi Berkasus Bocor Termasuk 3\xc2\xa0Jenderal https://t.co/Kq2GPBgO3G'"
